PAR_ID,PO_NO,HIGH_VALUE,LOW_VALUE
REQUESTED_ORDER_PIECES_TOL,109825869,103,103
REQUESTED_ORDER_PIECES_TOL,114171313,129,129
REQUESTED_ORDER_PIECES_TOL,121559362,215,196
REQUESTED_ORDER_PIECES_TOL,135227068,153,148
REQUESTED_ORDER_PIECES_TOL,136910155,324,314
REQUESTED_ORDER_PIECES_TOL,153486266,2156,1960
REQUESTED_ORDER_PIECES_TOL,155143162,16,14
REQUESTED_ORDER_PIECES_TOL,159269325,193,187
REQUESTED_ORDER_PIECES_TOL,159410301,1574,1528
REQUESTED_ORDER_PIECES_TOL,159603100,235,228
REQUESTED_ORDER_PIECES_TOL,161350702,599,544
REQUESTED_ORDER_PIECES_TOL,177318076,157,142
REQUESTED_ORDER_PIECES_TOL,181302648,28,26
REQUESTED_ORDER_PIECES_TOL,185759380,7926,7205
REQUESTED_ORDER_PIECES_TOL,187415464,193,187
REQUESTED_ORDER_PIECES_TOL,187480040,2875,2614
REQUESTED_ORDER_PIECES_TOL,193135882,2820,2564
REQUESTED_ORDER_PIECES_TOL,193148187,2820,2564
REQUESTED_ORDER_PIECES_TOL,193879098,383,371
REQUESTED_ORDER_PIECES_TOL,195483985,213,206
REQUESTED_ORDER_PIECES_TOL,195863249,7926,7205
REQUESTED_ORDER_PIECES_TOL,198609921,7926,7205
REQUESTED_ORDER_PIECES_TOL,199633407,329,319
REQUESTED_ORDER_PIECES_TOL,202062078,153,148
REQUESTED_ORDER_PIECES_TOL,204834158,8105,7368
REQUESTED_ORDER_PIECES_TOL,206024293,7926,7205
REQUESTED_ORDER_PIECES_TOL,206279999,8735,7940
REQUESTED_ORDER_PIECES_TOL,207274561,7926,7205
REQUESTED_ORDER_PIECES_TOL,210019959,213,206
REQUESTED_ORDER_PIECES_TOL,212232593,7926,7205
REQUESTED_ORDER_PIECES_TOL,215124492,137,133
REQUESTED_ORDER_PIECES_TOL,215847408,7926,7205
REQUESTED_ORDER_PIECES_TOL,216216424,2875,2614
REQUESTED_ORDER_PIECES_TOL,217461329,380,369
REQUESTED_ORDER_PIECES_TOL,217703524,524,509
REQUESTED_ORDER_PIECES_TOL,217732174,405,393
REQUESTED_ORDER_PIECES_TOL,219020887,343,332
REQUESTED_ORDER_PIECES_TOL,219144504,198,192
REQUESTED_ORDER_PIECES_TOL,219582520,294,285
REQUESTED_ORDER_PIECES_TOL,223146772,7926,7205
REQUESTED_ORDER_PIECES_TOL,92967400,23,19
REQUESTED_ORDER_PIECES_TOL,109064342,206,206
REQUESTED_ORDER_PIECES_TOL,111854949,23,21
REQUESTED_ORDER_PIECES_TOL,117284058,253,230
REQUESTED_ORDER_PIECES_TOL,125793723,23,21
REQUESTED_ORDER_PIECES_TOL,128788550,215,194
REQUESTED_ORDER_PIECES_TOL,136601957,,
REQUESTED_ORDER_PIECES_TOL,136907396,213,206
REQUESTED_ORDER_PIECES_TOL,142174738,153,148
REQUESTED_ORDER_PIECES_TOL,143667634,21,21
REQUESTED_ORDER_PIECES_TOL,162784762,3834,3485
REQUESTED_ORDER_PIECES_TOL,175895596,28,26
REQUESTED_ORDER_PIECES_TOL,177267879,3062,2784
REQUESTED_ORDER_PIECES_TOL,177513195,2555,2323
REQUESTED_ORDER_PIECES_TOL,179511944,380,369
REQUESTED_ORDER_PIECES_TOL,179967647,137,133
REQUESTED_ORDER_PIECES_TOL,181550031,2396,2178
REQUESTED_ORDER_PIECES_TOL,183301879,28,26
REQUESTED_ORDER_PIECES_TOL,183621611,164,159
REQUESTED_ORDER_PIECES_TOL,184967468,8452,7683
REQUESTED_ORDER_PIECES_TOL,185034982,7926,7205
REQUESTED_ORDER_PIECES_TOL,185848891,7926,7205
REQUESTED_ORDER_PIECES_TOL,186675473,7824,7112
REQUESTED_ORDER_PIECES_TOL,191376569,168,163
REQUESTED_ORDER_PIECES_TOL,194095792,324,314
REQUESTED_ORDER_PIECES_TOL,195332158,362,352
REQUESTED_ORDER_PIECES_TOL,199001797,7875,7159
REQUESTED_ORDER_PIECES_TOL,201374963,137,133
REQUESTED_ORDER_PIECES_TOL,204633413,7926,7205
REQUESTED_ORDER_PIECES_TOL,205145752,7926,7205
REQUESTED_ORDER_PIECES_TOL,205929250,7926,7205
REQUESTED_ORDER_PIECES_TOL,207245237,7926,7205
REQUESTED_ORDER_PIECES_TOL,212084003,193,187
REQUESTED_ORDER_PIECES_TOL,215061662,431,418
REQUESTED_ORDER_PIECES_TOL,217172122,193,187
REQUESTED_ORDER_PIECES_TOL,217748403,120,117
REQUESTED_ORDER_PIECES_TOL,218926285,101,98
REQUESTED_ORDER_PIECES_TOL,220724293,7926,7205
REQUESTED_ORDER_PIECES_TOL,221221142,120,117
REQUESTED_ORDER_PIECES_TOL,221336094,7926,7205
REQUESTED_ORDER_PIECES_TOL,225664813,193,187
REQUESTED_ORDER_PIECES_TOL,94536709,22,18
REQUESTED_ORDER_PIECES_TOL,110043498,239,217
REQUESTED_ORDER_PIECES_TOL,110211958,239,217
REQUESTED_ORDER_PIECES_TOL,130434676,659,593
REQUESTED_ORDER_PIECES_TOL,132352115,108,105
REQUESTED_ORDER_PIECES_TOL,156033072,48,43
REQUESTED_ORDER_PIECES_TOL,156530622,16,14
REQUESTED_ORDER_PIECES_TOL,162437035,28,26
REQUESTED_ORDER_PIECES_TOL,169646039,9,8
REQUESTED_ORDER_PIECES_TOL,181932005,28,26
REQUESTED_ORDER_PIECES_TOL,182562523,153,148
REQUESTED_ORDER_PIECES_TOL,185096016,7926,7205
REQUESTED_ORDER_PIECES_TOL,185288759,7987,7260
REQUESTED_ORDER_PIECES_TOL,187618038,89,86
REQUESTED_ORDER_PIECES_TOL,189284106,159,154
REQUESTED_ORDER_PIECES_TOL,191226515,230,223
REQUESTED_ORDER_PIECES_TOL,191470202,193,187
REQUESTED_ORDER_PIECES_TOL,193256647,294,285
REQUESTED_ORDER_PIECES_TOL,193285346,294,285
REQUESTED_ORDER_PIECES_TOL,193913974,294,285
REQUESTED_ORDER_PIECES_TOL,194480301,194,188
REQUESTED_ORDER_PIECES_TOL,197000208,159,154
REQUESTED_ORDER_PIECES_TOL,200280933,7875,7159
REQUESTED_ORDER_PIECES_TOL,201997760,234,227
REQUESTED_ORDER_PIECES_TOL,204364778,8343,7584
REQUESTED_ORDER_PIECES_TOL,204404555,8343,7584
REQUESTED_ORDER_PIECES_TOL,204615185,7926,7205
REQUESTED_ORDER_PIECES_TOL,204816643,7926,7205
REQUESTED_ORDER_PIECES_TOL,205413762,7926,7205
REQUESTED_ORDER_PIECES_TOL,205723321,7926,7205
REQUESTED_ORDER_PIECES_TOL,206324003,7926,7205
REQUESTED_ORDER_PIECES_TOL,207534700,8452,7683
REQUESTED_ORDER_PIECES_TOL,208113009,7926,7205
REQUESTED_ORDER_PIECES_TOL,214571235,294,285
REQUESTED_ORDER_PIECES_TOL,214748152,191,186
REQUESTED_ORDER_PIECES_TOL,216554752,7926,7205
REQUESTED_ORDER_PIECES_TOL,217307537,193,187
REQUESTED_ORDER_PIECES_TOL,221902449,416,404
REQUESTED_ORDER_PIECES_TOL,222815848,2396,2178
REQUESTED_ORDER_PIECES_TOL,224244911,120,117
REQUESTED_ORDER_PIECES_TOL,225366988,7926,7205
REQUESTED_ORDER_PIECES_TOL,232002687,120,117
REQUESTED_ORDER_PIECES_TOL,94625978,50,50
REQUESTED_ORDER_PIECES_TOL,96265894,457,413
REQUESTED_ORDER_PIECES_TOL,229519093,2272,2164
REQUESTED_ORDER_PIECES_TOL,231554025,157,142
REQUESTED_ORDER_PIECES_TOL,100252173,142,142
REQUESTED_ORDER_PIECES_TOL,111614754,239,217
REQUESTED_ORDER_PIECES_TOL,121917674,239,217
REQUESTED_ORDER_PIECES_TOL,122036789,239,217
REQUESTED_ORDER_PIECES_TOL,132066236,23,21
REQUESTED_ORDER_PIECES_TOL,134895940,23965,21786
REQUESTED_ORDER_PIECES_TOL,136995671,168,163
REQUESTED_ORDER_PIECES_TOL,137032606,265,257
REQUESTED_ORDER_PIECES_TOL,141933222,235,228
REQUESTED_ORDER_PIECES_TOL,142927430,182,177
REQUESTED_ORDER_PIECES_TOL,159497295,170,165
REQUESTED_ORDER_PIECES_TOL,159617568,149,145
REQUESTED_ORDER_PIECES_TOL,159921698,220,200
REQUESTED_ORDER_PIECES_TOL,176194077,213,206
REQUESTED_ORDER_PIECES_TOL,176602730,294,285
REQUESTED_ORDER_PIECES_TOL,180437815,7926,7205
REQUESTED_ORDER_PIECES_TOL,180476172,7926,7205
REQUESTED_ORDER_PIECES_TOL,185543371,7926,7205
REQUESTED_ORDER_PIECES_TOL,190876979,327,317
REQUESTED_ORDER_PIECES_TOL,191435664,406,394
REQUESTED_ORDER_PIECES_TOL,192733243,137,133
REQUESTED_ORDER_PIECES_TOL,193748698,294,285
REQUESTED_ORDER_PIECES_TOL,194137068,422,409
REQUESTED_ORDER_PIECES_TOL,195069665,213,206
REQUESTED_ORDER_PIECES_TOL,196096825,7926,7205
REQUESTED_ORDER_PIECES_TOL,198810054,193,187
REQUESTED_ORDER_PIECES_TOL,199580715,7987,7260
REQUESTED_ORDER_PIECES_TOL,202214496,7926,7205
REQUESTED_ORDER_PIECES_TOL,202587023,8787,7989
REQUESTED_ORDER_PIECES_TOL,205693357,7926,7205
REQUESTED_ORDER_PIECES_TOL,207502690,8452,7683
REQUESTED_ORDER_PIECES_TOL,207507262,8452,7683
REQUESTED_ORDER_PIECES_TOL,207880703,8401,7637
REQUESTED_ORDER_PIECES_TOL,211465467,185,179
REQUESTED_ORDER_PIECES_TOL,212102879,294,285
REQUESTED_ORDER_PIECES_TOL,213325797,8787,7989
REQUESTED_ORDER_PIECES_TOL,213812948,7926,7205
REQUESTED_ORDER_PIECES_TOL,215049763,431,418
REQUESTED_ORDER_PIECES_TOL,215053712,431,418
REQUESTED_ORDER_PIECES_TOL,216913914,7926,7205
REQUESTED_ORDER_PIECES_TOL,217389601,194,188
REQUESTED_ORDER_PIECES_TOL,217487981,294,285
REQUESTED_ORDER_PIECES_TOL,218644833,391,379
REQUESTED_ORDER_PIECES_TOL,219033437,198,192
REQUESTED_ORDER_PIECES_TOL,220728978,7926,7205
REQUESTED_ORDER_PIECES_TOL,221632644,294,285
REQUESTED_ORDER_PIECES_TOL,222636024,7926,7205
REQUESTED_ORDER_PIECES_TOL,222783337,7926,7205
REQUESTED_ORDER_PIECES_TOL,223337126,2118,2056
REQUESTED_ORDER_PIECES_TOL,225991393,7926,7205
REQUESTED_ORDER_PIECES_TOL,230716205,2875,2614
REQUESTED_ORDER_PIECES_TOL,232356011,137,133
REQUESTED_ORDER_PIECES_TOL,232656884,7926,7205
REQUESTED_ORDER_PIECES_TOL,230974252,7926,7205
REQUESTED_ORDER_PIECES_TOL,106850845,229,229
REQUESTED_ORDER_PIECES_TOL,108803874,192,192
REQUESTED_ORDER_PIECES_TOL,112500152,23,21
REQUESTED_ORDER_PIECES_TOL,126869163,1198,980
REQUESTED_ORDER_PIECES_TOL,137275084,259,251
REQUESTED_ORDER_PIECES_TOL,157605014,16,14
